canonical_id,date,type,ticker,quantity,value_per_unit,gross_value,currency,irrf,withholding_tax,net_value,broker,source
deb_petro_rio_jaguar_petroleo_740,2026-04-15,juros,deb_peja23,50.0,34.62515405,1731.26,BRL,0,0,1731.26,safra,b3
cra_cra024002ml,2026-03-16,juros,cra_cra024002ml,71.0,36.15790104,2567.21,BRL,0,0,2567.21,safra,b3
deb_acucar_guarani_615,2025-12-15,juros,deb_taeb15,84.0,26.36,2214.84,BRL,0,0,2214.84,safra,b3
cra_cra0190020f,2025-11-17,juros,cra_cra0190020f,134.0,5.18,695.27,BRL,0,0,695.27,safra,b3
cra_cra02400ahy,2025-11-17,juros,cra_cra02400ahy,35.0,68.33,2391.58,BRL,0,0,2391.58,safra,b3
deb_cdi_rede_d_or_sao_luiz_120,2025-11-17,juros,deb_rdorb3,28.0,85.2,2385.77,BRL,0,0,2385.77,safra,b3
cra_cra0190020f,2025-10-15,juros,cra_cra0190020f,134.0,7.44,997.12,BRL,0,0,997.12,safra,b3
deb_petro_rio_jaguar_petroleo_740,2025-10-15,juros,deb_peja23,50.0,34.59,1729.97,BRL,0,0,1729.97,safra,b3
cra_cra0190020f,2025-09-15,juros,cra_cra0190020f,134.0,9.46,1268.49,BRL,0,0,1268.49,safra,b3
cra_cra024002ml,2025-09-15,juros,cra_cra024002ml,71.0,35.69,2534.17,BRL,0,0,2534.17,safra,b3
cra_cra0190020f,2025-07-15,juros,cra_cra0190020f,134.0,13.49,1807.78,BRL,0,0,1807.78,safra,b3
cra_cra0190020f,2025-06-16,juros,cra_cra0190020f,134.0,17.19,2303.87,BRL,0,0,2303.87,safra,b3
cra_cra019003jy,2025-06-16,juros,cra_cra019003jy,12.0,48.75,585.02,BRL,0,0,585.02,safra,b3
deb_neoenergia_370,2025-06-16,juros,deb_neoe26,9.0,48.1,432.94,BRL,0,0,432.94,safra,b3
deb_acucar_guarani_615,2025-06-16,juros,deb_taeb15,84.0,37.51,3151.04,BRL,0,0,3151.04,safra,b3
cra_cra0190020f,2025-05-15,juros,cra_cra0190020f,134.0,16.68,2235.49,BRL,0,0,2235.49,safra,b3
cra_cra02400ahy,2025-05-15,juros,cra_cra02400ahy,35.0,58.67,2053.52,BRL,0,0,2053.52,safra,b3
deb_cdi_rede_d_or_sao_luiz_120,2025-05-15,juros,deb_rdorb3,28.0,69.08,1934.46,BRL,0,0,1934.46,safra,b3
cra_cra0190020f,2025-04-15,juros,cra_cra0190020f,134.0,18.23,2443.44,BRL,0,0,2443.44,safra,b3
deb_petro_rio_jaguar_petroleo_740,2025-04-15,juros,deb_peja23,50.0,33.24,1662.39,BRL,0,0,1662.39,safra,b3
cra_cra0190020f,2025-03-17,juros,cra_cra0190020f,134.0,15.09,2022.43,BRL,0,0,2022.43,safra,b3
cra_cra024002ml,2025-03-17,juros,cra_cra024002ml,71.0,34.54,2452.82,BRL,0,0,2452.82,safra,b3
cra_cra0190020f,2025-02-17,juros,cra_cra0190020f,134.0,18.89,2531.89,BRL,0,0,2531.89,safra,b3
cra_cra0190020f,2025-01-15,juros,cra_cra0190020f,134.0,16.06,2153.07,BRL,0,0,2153.07,safra,b3
cra_cra0190020f,2024-12-16,juros,cra_cra0190020f,134.0,14.6,1957.59,BRL,0,0,1957.59,safra,b3
deb_acucar_guarani_615,2024-12-16,juros,deb_taeb15,84.0,37.81,3176.86,BRL,0,0,3176.86,safra,b3
cra_cra0190020f,2024-11-18,juros,cra_cra0190020f,134.0,17.34,2323.59,BRL,0,0,2323.59,safra,b3
cra_cra0190020f,2024-10-15,juros,cra_cra0190020f,134.0,15.7,2103.95,BRL,0,0,2103.95,safra,b3
cra_cra0190020f,2024-09-16,juros,cra_cra0190020f,134.0,16.29,2183.18,BRL,0,0,2183.18,safra,b3
cra_cra0190020f,2024-08-15,juros,cra_cra0190020f,134.0,17.03,2283.26,BRL,0,0,2283.26,safra,b3
cra_cra0190020f,2024-07-15,juros,cra_cra0190020f,134.0,14.8,1983.25,BRL,0,0,1983.25,safra,b3
cra_cra0190020f,2024-06-17,juros,cra_cra0190020f,134.0,16.29,2183.18,BRL,0,0,2183.18,safra,b3
cra_cra019003jy,2024-06-17,juros,cra_cra019003jy,12.0,46.28,555.47,BRL,0,0,555.47,safra,b3
deb_neoenergia_370,2024-06-17,juros,deb_neoe26,9.0,50.74,456.74,BRL,0,0,456.74,safra,b3
deb_acucar_guarani_615,2024-06-17,juros,deb_taeb15,84.0,35.9,3015.95,BRL,0,0,3015.95,safra,b3
cra_cra0190020f,2024-05-15,juros,cra_cra0190020f,134.0,15.71,2105.17,BRL,0,0,2105.17,safra,b3
tesouro_ipca_com_juros_semestrais_2032,2024-02-15,juros,tesouro_ipca_com_juros_semestrais_2032,0.01,124.54,1.25,BRL,0,0,1.25,xp,b3
cra_cra0190020f,2024-01-15,juros,cra_cra0190020f,134.0,14.91,1998.78,BRL,0,0,1998.78,safra,b3
cra_cra01600021,2023-12-18,juros,cra_cra01600021,124.0,126.55,15693.13,BRL,0,0,15693.13,safra,b3
cra_cra0190020f,2023-12-15,juros,cra_cra0190020f,134.0,16.87,2261.63,BRL,0,0,2261.63,safra,b3
deb_acucar_guarani_615,2023-12-15,juros,deb_taeb15,84.0,35.76,3004.62,BRL,0,0,3004.62,safra,b3
cra_cra0190020f,2023-11-16,juros,cra_cra0190020f,134.0,17.12,2295.31,BRL,0,0,2295.31,safra,b3
cra_cra0190020f,2023-10-16,juros,cra_cra0190020f,134.0,16.51,2213.12,BRL,0,0,2213.12,safra,b3
cra_cra0190020f,2023-09-15,juros,cra_cra0190020f,134.0,18.47,2475.99,BRL,0,0,2475.99,safra,b3
cra_cra0190020f,2023-08-15,juros,cra_cra0190020f,134.0,17.87,2395.88,BRL,0,0,2395.88,safra,b3
tesouro_ipca_com_juros_semestrais_2032,2023-08-15,juros,tesouro_ipca_com_juros_semestrais_2032,0.01,122.09,1.22,BRL,0,0,1.22,xp,b3
cra_cra0190020f,2023-07-17,juros,cra_cra0190020f,134.0,18.86,2528.55,BRL,0,0,2528.55,safra,b3
cra_cra0190020f,2023-06-15,juros,cra_cra0190020f,134.0,18.87,2528.55,BRL,0,0,2528.55,safra,b3
cra_cra019003jy,2023-06-15,juros,cra_cra019003jy,12.0,44.36,532.32,BRL,0,0,532.32,safra,b3
deb_neoenergia_370,2023-06-15,juros,deb_neoe26,9.0,53.5,481.47,BRL,0,0,481.47,safra,b3
